"Tax Yr","Wk Band 1","Wk Band 2","Wk Band 3","Wk Band 4","Wk Band 5","Mnth Band 1","Mnth Band 2","Mnth Band 3","Mnth Band 4","Mnth Band 5","Ann Band 1","Ann Band 2","Ann Band 3","Ann Band 4","Ann Band 5"
1975,11,,,,69,47.67,,,,299,572,,,,3588
1976,13,,,,95,56.33,,,,411.67,675.96,,,,4940.04
1977,15,,,,105,65,,,,455,780,,,,5460
1978,17.5,,,,120,75.83,,,,520,909.96,,,,6240
1979,19.5,,,,135,84.5,,,,585,1014,,,,7020
1980,23,,,,165,99.67,,,,715,1196.04,,,,8580
1981,27,,,,200,117,,,,866.67,1404,,,,10400.04
1982,29.5,,,,220,127.83,,,,953.33,1533.96,,,,11439.96
1983,32.5,,,,235,140.83,,,,1018.33,1689.96,,,,12219.96
1984,34,,,,250,147.33,,,,1083.33,1767.96,,,,12999.96
1985,35.5,55,90,130,265,153.83,238.33,390,563.33,1148.33,1845.96,2859.96,4680,6759.96,13779.96
1986,38,60,95,140,285,164.67,260,411.67,606.67,1235,1976.04,3120,4940.04,7280.04,14820
1987,39,65,100,150,295,169,282,434,650,1279,2028,3380,5200,7800,15340
1988,41,70,105,155,305,178,304,455,672,1322,2132,3640,5460,8060,15860
1989,43,75,115,165,325,187,325,499,715,1409,2236,3900,5980,8580,16900
1990,46,80,125,175,350,200,347,542,759,1517,2392,4160,6500,9100,18200
1991,52,85,130,185,390,226,369,564,802,1690,2704,4420,6760,9620,20280
1992,54,90,135,190,405,234,390,585,824,1755,2808,4680,7020,9880,21060
1993,56,95,140,195,420,243,412,607,845,1820,2912,4940,7280,10140,21840
1994,57,100,145,200,430,247,434,629,867,1864,2964,5200,7540,10400,22360
1995,58,105,150,205,440,252,455,650,889,1907,3016,5460,7800,10660,22880
1996,61,110,155,210,455,265,477,672,910,1972,3172,5720,8060,10920,23660
1997,62,110,155,210,465,269,477,672,910,2015,3224,5720,8060,10920,24180
1998,64,110,155,210,485,278,477,672,910,2102,3328,5720,8060,10920,25220
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
