"Tax Yr","Start Wk","Wk Rte","Dte HRP Apply","Fnl Dte For Pen","EF Qual Year",LEL,"No Of Weeks"
1975,1,1.9,,1978/04/05,536,11,50
1976,1,2.1,,1979/04/05,636,13,50
1977,1,2.45,,1980/04/05,736,15,50
1978,1,1.8,,1981/04/05,896,17.5,52
1979,1,2,,1982/04/05,1000,19.5,52
1980,1,2.4,,1983/04/05,1182,23,52
1981,1,3.3,,1984/04/05,1390,27,52
1982,1,3.65,,1989/04/05,1519.25,29.5,52
1983,1,4.3,1986/04/06,1990/04/05,1673.75,32.5,52
1984,1,4.5,1987/04/06,1991/04/05,1751,34,52
1985,1,4.65,1988/04/06,1992/04/05,1828.25,35.5,26
1985,27,3.4,1988/04/06,1992/04/05,1828.25,35.5,26
1986,1,3.65,1989/04/06,1993/04/05,1957,38,52
1987,1,3.75,1990/04/06,1994/04/05,1978,39,52
1988,1,3.95,1991/04/06,1995/04/05,2082,41,52
1989,1,4.15,1992/04/06,1996/04/05,2186,43,52
1990,1,4.45,1993/04/06,1997/04/05,2342,46,52
1991,1,5.05,1994/04/06,1998/04/05,2654,52,52
1992,1,5.25,1995/04/06,1999/04/05,2758,54,52
1993,1,5.45,1996/04/06,2000/04/05,2862,56,52
1994,1,5.55,1997/04/06,2001/04/05,2914,57,52
1995,1,5.65,1998/04/06,2002/04/05,2966,58,52
1996,1,5.95,1999/04/06,2003/04/05,3122,61,52
1997,1,6.05,2000/04/06,2004/04/05,3174,62,52
1998,1,6.25,2001/04/06,2005/04/05,3278,64,52
1999,1,6.45,2002/04/06,2006/04/05,3382,66,52
2000,1,6.55,2003/04/06,2007/04/05,3434,67,52
2001,1,6.75,2004/04/06,2008/04/05,3694,72,52
2002,1,6.85,2005/04/06,2009/04/05,3850,75,52
2003,1,6.95,2006/04/06,2010/04/05,3954,77,52
2004,1,7.15,2007/04/06,2011/04/05,4058,79,52
2005,1,7.35,2008/04/06,2012/04/05,4214,82,52
2006,1,7.55,2009/04/06,2013/04/05,4318,84,52
2007,1,7.8,2010/04/06,2014/04/05,4474,87,52
2008,1,8.1,2011/04/06,2015/04/05,4630,90,52
2009,1,12.05,2012/04/06,2016/04/05,4890,95,52
2010,1,12.05,2013/04/06,2017/04/05,4994,97,52
2011,1,12.6,2014/04/06,2018/04/05,5254,102,52
2012,1,13.25,2015/04/06,2019/04/05,5514,107,52
2013,1,13.55,2016/04/06,2020/04/05,5618,109,52
2014,1,13.9,2017/04/06,2021/04/05,5722,111,53
2015,1,14.1,2018/04/06,2022/04/05,5774,112,52
2016,1,14.1,2019/04/06,2023/04/05,5774,112,52
2017,1,14.25,2020/04/06,2024/04/05,5826,113,52
2018,1,14.65,2021/04/06,2025/04/05,5982,116,52
2019,1,15,2022/04/06,2026/04/05,6086,118,53
2020,1,15.3,2023/04/06,2027/04/05,6240,120,52
